Pixalate,,adDomain,RootDomain,Mark
Last update: 11-27-17,,magicdoge.000webhostapp.com,000webhostapp.com,
,,a70a71.000webhostapp.com,000webhostapp.com,0
,,bestway2earnbtc.000webhostapp.com,000webhostapp.com,0
,,savvy-shares.000webhostapp.com,000webhostapp.com,0
,,fludg8.000webhostapp.com,000webhostapp.com,0
,,007-soccer-picks.com,007-soccer-picks.com,0
,,0ll0.ru,0ll0.ru,1
,,0xbt.net,0xbt.net,1
,,faucet.0xc9.net,0xc9.net,0
,,1000satoshis.com,1000satoshis.com,0
,,100bitco.in.ua,100bitco.in.ua,0
,,100not.ru,100not.ru,1
,,10pix.ru,10pix.ru,1
,,123-dentiste.fr,123-dentiste.fr,1
,,123-medecin.fr,123-medecin.fr,1
,,123gomovies.co,123gomovies.co,0
,,123movies.eu,123movies.eu,1
,,12top.pw,12top.pw,0
,,myfaucetsite.16mb.com,16mb.com,0
,,1manfactory.com,1manfactory.com,1
,,1od.in.ua,1od.in.ua,1
,,1st.co.za,1st.co.za,2
,,1x2bits.club,1x2bits.club,0
,,www.2016games.gq,2016games.gq,0
,,20khvylyn.com,20khvylyn.com,2
,,23satoshi.com,23satoshi.com,0
,,24besucher.eu,24besucher.eu,2
,,24daysnews.com,24daysnews.com,0
,,sdr.24dx.ru,24dx.ru,0
,,24kmusic.com,24kmusic.com,1
,,ledoi.2gu.xyz,2gu.xyz,1
,,2xxxvideos.net,2xxxvideos.net,1
,,300mbfilms.co,300mbfilms.co,1
,,teleserye-me.303.si,303.si,1
,,mohfw.303.si,303.si,1
,,animeflavor-me.303.si,303.si,2
,,cloudatcost.303.si,303.si,1
,,teenpussykiller.303.si,303.si,1
,,napiszar.303.si,303.si,1
,,youtube-dd-com.303.si,303.si,1
,,facebook.303.si,303.si,1
,,321jav.com,321jav.com,1
,,360fastdeals.com,360fastdeals.com,0
,,36trest.ru,36trest.ru,1
,,animals.3dn.ru,3dn.ru,1
,,ganke.3dot.us,3dot.us,1
,,3dsha.re,3dsha.re,1
,,3dzone.link,3dzone.link,1
,,3nudegirls.com,3nudegirls.com,0
,,3nwanmisr.com,3nwanmisr.com,0
,,3rialha.ir,3rialha.ir,1
,,3ty.ru,3ty.ru,1
,,3xgirlz.com,3xgirlz.com,0
,,3xtubez.com,3xtubez.com,0
,,4-seo.net,4-seo.net,1
,,4d2all.com,4d2all.com,0
,,4plaatjes-1woord.nl,4plaatjes-1woord.nl,0
,,4writing.it,4writing.it,2
,,50bitcoin.com,50bitcoin.com,1
,,69tintuc.com,69tintuc.com,0
,,ksa.6pc9.com,6pc9.com,1
,,6pc9.com,6pc9.com,1
,,70s-80s.net,70s-80s.net,0
,,777doge.co.in,777doge.co.in,1
,,how-to-make-money-online.890m.com,890m.com,0
,,8xtube.com,8xtube.com,1
,,91technol.com,91technol.com,0
,,99covers.co,99covers.co,1
,,99covers.com,99covers.com,1
,,9darts.black,9darts.black,1
,,a-mans-mind.com,a-mans-mind.com,1
,,sub.a3r.ir,a3r.ir,0
,,jobs4.a7n.in,a7n.in,1
,,aarware.com,aarware.com,1
,,abc8.ru,abc8.ru,2
,,abortoseguro.com,abortoseguro.com,1
,,aboutcars.bg,aboutcars.bg,0
